date,open,high,low,close,10D MA
2014-09-02,103.06,103.74,102.72,103.3,98.1185
2014-09-03,103.1,103.2,98.58,98.94,98.372
2014-09-04,98.85,100.09,97.79,98.12,98.5925
2014-09-05,98.8,99.39,98.31,98.97,98.856
2014-09-08,99.3,99.31,98.05,98.36,99.076
2014-09-09,99.08,103.08,96.14,97.99,99.2155
2014-09-10,98.01,101.11,97.76,101.0,99.5065
2014-09-11,100.41,101.44,99.62,101.43,99.756
2014-09-12,101.21,102.19,101.08,101.66,100.004
2014-09-15,102.81,103.05,101.44,101.63,100.227
2014-09-16,99.8,101.26,98.89,100.86,100.353
2014-09-17,101.27,101.8,100.59,101.58,100.447
2014-09-18,101.93,102.35,101.56,101.79,100.5495
2014-09-19,102.29,102.35,100.88,100.96,100.61
2014-09-22,101.8,102.14,100.58,101.06,100.6385
2014-09-23,100.6,102.94,100.54,102.64,100.7355
2014-09-24,102.16,102.85,101.2,101.75,100.82
2014-09-25,100.51,100.71,97.72,97.87,100.649
2014-09-26,98.53,100.75,98.4,100.75,100.616
2014-09-29,98.65,100.44,98.63,100.11,100.5385
2014-09-30,100.81,101.54,100.53,100.75,100.411
2014-10-01,100.59,100.69,98.7,99.18,100.423
2014-10-02,99.27,100.22,98.04,99.9,100.512
2014-10-03,99.44,100.21,99.04,99.62,100.5445
2014-10-06,99.95,100.65,99.42,99.62,100.6075
2014-10-07,99.43,100.12,98.73,98.75,100.6455
2014-10-08,98.76,101.11,98.31,100.8,100.6355
2014-10-09,101.54,102.38,100.61,101.02,100.615
2014-10-10,100.69,102.03,100.3,100.73,100.5685
2014-10-13,101.33,101.78,99.81,99.81,100.4775
2014-10-14,100.39,100.52,98.57,98.75,100.372
2014-10-15,97.97,99.15,95.18,97.54,100.17
2014-10-16,95.55,97.72,95.41,96.26,99.8935
2014-10-17,97.5,99.0,96.81,97.67,99.729
2014-10-20,98.32,99.96,98.22,99.76,99.664
2014-10-21,103.02,103.02,101.27,102.47,99.6555
2014-10-22,102.84,104.11,102.6,102.99,99.7175
2014-10-23,104.08,105.05,103.63,104.83,100.0655
2014-10-24,105.18,105.49,104.53,105.22,100.289
2014-10-27,104.85,105.48,104.7,105.11,100.539
2014-10-28,105.4,106.74,105.35,106.74,100.8385
2014-10-29,106.65,107.37,106.36,107.34,101.2465
2014-10-30,106.96,107.35,105.9,106.98,101.6005
2014-10-31,108.01,108.04,107.21,108.0,102.0195
2014-11-03,108.22,110.3,108.01,109.4,102.5085
2014-11-04,109.36,109.49,107.72,108.6,103.001
2014-11-05,109.1,109.3,108.12,108.86,103.404
2014-11-06,108.6,108.79,107.8,108.7,103.788
2014-11-07,108.75,109.32,108.55,109.01,104.202
2014-11-10,109.02,109.33,108.67,108.83,104.653
2014-11-11,108.7,109.75,108.4,109.7,105.2005
2014-11-12,109.38,111.43,109.37,111.25,105.886
2014-11-13,111.8,113.45,111.6,112.82,106.714
2014-11-14,113.15,114.19,113.05,114.18,107.5395
2014-11-17,114.27,117.28,113.3,113.99,108.251
2014-11-18,113.94,115.69,113.89,115.47,108.901
2014-11-19,115.44,115.74,113.8,114.67,109.485
2014-11-20,114.91,116.86,114.85,116.31,110.059
2014-11-21,117.51,117.57,116.03,116.47,110.6215
2014-11-24,116.85,118.77,116.62,118.62,111.297
2014-11-25,119.07,119.75,117.45,117.6,111.84
2014-11-26,117.94,119.1,117.83,119.0,112.423
2014-11-28,119.27,119.4,118.05,118.93,113.0205
2014-12-01,118.81,119.25,111.27,115.07,113.374
2014-12-02,113.5,115.75,112.75,114.63,113.6355
2014-12-03,115.75,116.35,115.11,115.93,114.002
2014-12-04,115.77,117.2,115.29,115.49,114.3335
2014-12-05,115.99,116.08,114.64,115.0,114.6485
2014-12-08,114.1,114.65,111.62,112.4,114.818
2014-12-09,110.19,114.3,109.35,114.12,115.0825
2014-12-10,114.41,114.85,111.54,111.95,115.195
2014-12-11,112.26,113.8,111.34,111.62,115.2135
2014-12-12,110.46,111.87,109.58,109.73,115.059
2014-12-15,110.7,111.6,106.35,108.22,114.761
2014-12-16,106.37,110.16,106.26,106.74,114.3985
2014-12-17,107.12,109.84,106.82,109.41,114.0955
2014-12-18,111.87,112.65,110.66,112.65,113.9945
2014-12-19,112.26,113.24,111.66,111.78,113.768
2014-12-22,112.16,113.49,111.97,112.94,113.5915
2014-12-23,113.23,113.33,112.46,112.54,113.2875
2014-12-24,112.58,112.71,112.01,112.01,113.008
2014-12-26,112.1,114.52,112.01,113.99,112.7575
2014-12-29,113.79,114.77,113.7,113.91,112.5065
2014-12-30,113.64,113.92,112.11,112.52,112.379
